Index,Stock Value,Weighted Average,Sigma,Portfolio Value
469,3.575,3.69595,0.0993414,85.9218
470,3.56,3.69188,0.0994217,85.5613
471,3.555,3.68777,0.0995042,85.4411
472,3.55,3.68364,0.0995887,85.3209
473,3.545,3.67948,0.0996751,85.2008
474,3.53,3.67499,0.0997922,84.8403
475,3.51,3.67004,0.0999568,84.3596
476,3.51,3.66524,0.100105,84.3596
477,3.525,3.66103,0.100193,84.7201
478,3.55,3.6577,0.10021,85.3209
479,3.52,3.65357,0.100291,84.5999
480,3.4487,3.64743,0.100595,82.8863
481,3.475,3.64225,0.100779,83.5184
482,3.485,3.63754,0.100914,83.7587
483,3.485,3.63296,0.101034,83.7587
484,3.475,3.62822,0.101169,83.5184
485,3.475,3.62362,0.101289,83.5184
486,3.5,3.61992,0.101331,84.1192
487,3.44,3.61452,0.101535,82.6772
488,3.43,3.60898,0.101754,82.4369
489,3.43,3.60361,0.101952,82.4369
490,3.425,3.59825,0.102148,82.3167
491,3.43,3.59321,0.102309,82.4369
492,3.43,3.58831,0.102453,82.4369
493,3.44,3.58386,0.102554,82.6772
494,3.485,3.5809,0.102541,83.7587
495,3.445,3.57682,0.102608,82.7974
496,3.425,3.57226,0.102718,82.3167
497,3.41,3.5674,0.102857,81.9562
498,3.425,3.56312,0.102939,82.3167
499,3.4177,3.55876,0.10303,82.1412
500,3.41,3.5543,0.103129,81.9562
501,3.4,3.54967,0.103242,81.7158
502,3.395,3.54503,0.103356,81.5957
503,3.405,3.54083,0.103431,81.836
504,3.44,3.5378,0.10342,82.6772
505,3.42,3.53427,0.103442,82.1965
506,3.425,3.53099,0.103447,82.3167
507,3.43,3.52796,0.103437,82.4369
508,3.4606,3.52594,0.103376,83.1723
509,3.44,3.52336,0.10334,82.6772
510,3.425,3.52041,0.103325,82.3167
511,3.43,3.5177,0.103297,82.4369
512,3.45,3.51567,0.103237,82.9175
513,3.465,3.51415,0.10316,83.2781
514,3.48,3.51312,0.10307,83.6386
515,3.47,3.51183,0.102986,83.3982
516,3.495,3.51133,0.102889,83.9991
517,3.51,3.51129,0.10279,84.3596
518,3.527,3.51176,0.102693,84.7682
519,3.52,3.512,0.102595,84.5999
520,3.52,3.51224,0.102497,84.5999
521,3.56,3.51368,0.102419,85.5613
522,3.56,3.51507,0.102339,85.5613
523,3.56,3.51641,0.10226,85.5613
524,3.525,3.51667,0.102163,84.7201
525,3.5,3.51617,0.102068,84.1192
526,3.522,3.51635,0.101971,84.648
527,3.54,3.51706,0.10188,85.0806
528,3.55,3.51804,0.101793,85.3209
529,3.505,3.51765,0.101698,84.2394
530,3.51,3.51742,0.101603,84.3596
531,3.51,3.5172,0.101508,84.3596
532,3.495,3.51654,0.101417,83.9991
533,3.485,3.51559,0.101331,83.7587
534,3.515,3.51557,0.101236,84.4798
535,3.51,3.5154,0.101142,84.3596
536,3.45,3.51344,0.101084,82.9175
537,3.47,3.51214,0.101007,83.3982
538,3.465,3.51072,0.100932,83.2781
539,3.478,3.50974,0.100848,83.5905
540,3.49,3.50915,0.100758,83.8789
541,3.4909,3.5086,0.100668,83.9005
542,3.49,3.50805,0.100578,83.8789
543,3.52,3.5084,0.100487,84.5999
544,3.5,3.50815,0.100395,84.1192
545,3.535,3.50896,0.10031,84.9604
546,3.535,3.50974,0.100224,84.9604
547,3.53,3.51035,0.100136,84.8403
548,3.51,3.51034,0.100044,84.3596
549,3.45,3.50853,0.0999847,82.9175
